index,mid,display_name
0.0,/m/09x0r,Speech
1.0,/m/0ytgt,"Child speech, kid speaking"
2.0,/m/01h8n0,Conversation
3.0,/m/02qldy,"Narration, monologue"
4.0,/m/0261r1,Babbling
5.0,/m/0brhx,Speech synthesizer
6.0,/m/07p6fty,Shout
7.0,/m/07q4ntr,Bellow
8.0,/m/07rwj3x,Whoop
9.0,/m/07sr1lc,Yell
10.0,/t/dd00135,Children shouting
11.0,/m/03qc9zr,Screaming
12.0,/m/02rtxlg,Whispering
13.0,/m/01j3sz,Laughter
14.0,/t/dd00001,Baby laughter
15.0,/m/07r660_,Giggle
16.0,/m/07s04w4,Snicker
17.0,/m/07sq110,Belly laugh
18.0,/m/07rgt08,"Chuckle, chortle"
19.0,/m/0463cq4,"Crying, sobbing"
20.0,/t/dd00002,"Baby cry, infant cry"
21.0,/m/07qz6j3,Whimper
22.0,/m/07qw_06,"Wail, moan"
23.0,/m/07plz5l,Sigh
24.0,/m/015lz1,Singing
25.0,/m/0l14jd,Choir
26.0,/m/01swy6,Yodeling
27.0,/m/02bk07,Chant
28.0,/m/01c194,Mantra
29.0,/t/dd00005,Child singing
30.0,/t/dd00006,Synthetic singing
31.0,/m/06bxc,Rapping
32.0,/m/02fxyj,Humming
33.0,/m/07s2xch,Groan
34.0,/m/07r4k75,Grunt
35.0,/m/01w250,Whistling
36.0,/m/0lyf6,Breathing
37.0,/m/07mzm6,Wheeze
38.0,/m/01d3sd,Snoring
39.0,/m/07s0dtb,Gasp
40.0,/m/07pyy8b,Pant
41.0,/m/07q0yl5,Snort
42.0,/m/01b_21,Cough
43.0,/m/0dl9sf8,Throat clearing
44.0,/m/01hsr_,Sneeze
45.0,/m/07ppn3j,Sniff
46.0,/m/06h7j,Run
47.0,/m/07qv_x_,Shuffle
48.0,/m/07pbtc8,"Walk, footsteps"
49.0,/m/03cczk,"Chewing, mastication"
50.0,/m/07pdhp0,Biting
51.0,/m/0939n_,Gargling
52.0,/m/01g90h,Stomach rumble
53.0,/m/03q5_w,"Burping, eructation"
54.0,/m/02p3nc,Hiccup
55.0,/m/02_nn,Fart
56.0,/m/0k65p,Hands
57.0,/m/025_jnm,Finger snapping
58.0,/m/0l15bq,Clapping
59.0,/m/01jg02,"Heart sounds, heartbeat"
60.0,/m/01jg1z,Heart murmur
61.0,/m/053hz1,Cheering
62.0,/m/028ght,Applause
63.0,/m/07rkbfh,Chatter
64.0,/m/03qtwd,Crowd
65.0,/m/07qfr4h,"Hubbub, speech noise, speech babble"
66.0,/t/dd00013,Children playing
67.0,/m/0jbk,Animal
68.0,/m/068hy,"Domestic animals, pets"
69.0,/m/0bt9lr,Dog
70.0,/m/05tny_,Bark
71.0,/m/07r_k2n,Yip
72.0,/m/07qf0zm,Howl
73.0,/m/07rc7d9,Bow-wow
74.0,/m/0ghcn6,Growling
75.0,/t/dd00136,Whimper (dog)
76.0,/m/01yrx,Cat
77.0,/m/02yds9,Purr
78.0,/m/07qrkrw,Meow
79.0,/m/07rjwbb,Hiss
80.0,/m/07r81j2,Caterwaul
81.0,/m/0ch8v,"Livestock, farm animals, working animals"
82.0,/m/03k3r,Horse
83.0,/m/07rv9rh,Clip-clop
84.0,/m/07q5rw0,"Neigh, whinny"
